Company/Brand,Car Name,Battery Capacity (CC),Horsepower (hp),Top Speed (km/h),Acceleration (time in seconds to reach 100km/h),Price ($),Fuel Type,Seats,Torque (Nm)
ASTON MARTIN,LAGONDA TARAF,"5,935 cc",540,314,4.2,1100000,P,4,630
ASTON MARTIN,VICTOR,"5,204 cc",836,320,2.8,1300000,P,2,821
LAMBORGHINI,SIAN,"6,498 cc",819,350,2.8,2800000,H,2,720
LAMBORGHINI,AVENTADOR SVJ,"6,498 cc",759,350,2.8,518000,P,2,720
LAMBORGHINI,HURACAN PERFORMANTE,"5,204 cc",640,325,2.9,274000,P,2,600
LAMBORGHINI,HURACAN EVO,"5,204 cc",640,325,2.9,261000,P,2,600
LAMBORGHINI,AVENTADOR SV,"6,498 cc",740,350,2.8,493000,P,2,690
LAMBORGHINI,URUS,"3,996 cc",641,305,3.6,211000,P,5,850
LAMBORGHINI,HURACAN SPYDER,"5,204 cc",610,325,3.4,287000,P,2,600
LAMBORGHINI,AVENTADOR ROADSTER,"6,498 cc",700,350,3,445000,P,2,690
LAMBORGHINI,HURACAN  PERFORMANTE SPYDER,"5,204 cc",640,325,3.1,308000,P,2,600
LAMBORGHINI,AVENTADOR S,"6,498 cc",740,350,2.9,421000,P,2,690
LAMBORGHINI,HURACAN EVO SPYDER,"5,204 cc",640,325,3.1,287000,P,2,600
LAMBORGHINI,URUS PERFORMANTE,"3,996 cc",641,305,3.3,242000,P,5,850
LAMBORGHINI,AVENTADOR ULTIMAE,"6,498 cc",769,355,2.8,545000,P,2,720
LAMBORGHINI,HURACAN EVO RWD,"5,204 cc",610,325,3.3,258000,P,2,560
LAMBORGHINI,AVENTADOR SVJ ROADSTER,"6,498 cc",759,350,2.9,573000,P,2,720
LAMBORGHINI,URUS S,"3,996 cc",671,305,3.3,263000,P,5,850
LAMBORGHINI,HURACAN STO,"5,204 cc",640,325,3,327000,P,2,565
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE,"6,498 cc",769,355,2.8,545000,P,2,720
LAMBORGHINI,HURACAN EVO RWD SPYDER,"5,204 cc",610,325,3.3,273000,P,2,600
LAMBORGHINI,AVENTADOR SVJ XAGO,"6,498 cc",759,350,2.9,603000,P,2,720
LAMBORGHINI,URUS GRAPHITE CAPSULE,"3,998 cc",641,305,3.3,253000,P,5,850
LAMBORGHINI,HURACAN STO EVO,"5,204 cc",640,325,3,342000,P,2,565
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE ROADSTER,"6,498 cc",769,355,2.8,573000,P,2,720
ROLLS ROYCE,GHOST,"6,592 cc",591,250,4.8,332000,P,5,850
ROLLS ROYCE,WRAITH,"6,592 cc",624,250,4.4,330000,P,4,870
ROLLS ROYCE,DAWN,"6,592 cc",624,250,4.9,360000,P,4,870
ROLLS ROYCE,CULLINAN,"6,749 cc",563,250,5.2,325000,P,5,850
ROLLS ROYCE,PHANTOM EXTENDED,"6,749 cc",563,250,5.3,500000,P,5,900
ROLLS ROYCE,GHOST EXTENDED,"6,592 cc",591,250,4.8,370000,P,5,850
ROLLS ROYCE,WRAITH BLACK BADGE,"6,592 cc",624,250,4.3,360000,P,4,870
ROLLS ROYCE,DAWN BLACK BADGE,"6,592 cc",624,250,4.8,390000,P,4,870
ROLLS ROYCE,CULLINAN BLACK BADGE,"6,749 cc",563,250,5.1,350000,P,5,850
ROLLS ROYCE,PHANTOM COUPE,"6,749 cc",563,250,5.3,450000,P,4,870
ROLLS ROYCE,GHOST COUPE,"6,592 cc",591,250,4.8,340000,P,4,850
ROLLS ROYCE,WRAITH COUPE,"6,592 cc",624,250,4.4,330000,P,4,870
ROLLS ROYCE,DAWN CONVERTIBLE,"6,592 cc",624,250,4.9,380000,P,4,870
ROLLS ROYCE,CULLINAN SUV,"6,749 cc",563,250,5.2,320000,P,5,850
MERCEDES,BENZ S-CLASS S 580,"3,982 cc",496,250,4.4,116000,P,5,700
MERCEDES,BENZ E-CLASS E 63 S,"3,982 cc",603,250,3.4,104000,P,5,850
MERCEDES,BENZ CLA 45 AMG,1991 cc,382,250,4.1,53000,P,5,500
MERCEDES,BENZ GLE 63 S,"3,982 cc",603,250,4.2,113000,P,5,850
MERCEDES,BENZ S-CLASS S 500,"2,996 cc",429,250,4.9,109000,P,5,700
MERCEDES,BENZ E-CLASS E 450,"2,996 cc",362,250,5.2,62000,P,5,500
MERCEDES,BENZ CLS 450,"2,996 cc",362,250,5.2,70000,P,5,500
MERCEDES,BENZ GT 53,"2,996 cc",429,250,4.5,99000,P,5,700
MERCEDES,BENZ GLE 450,"2,996 cc",362,250,5.5,63000,P,5,500
MERCEDES,BENZ A-CLASS A 45 S,"1,991 cc",416,250,3.9,53000,P,5,500
MERCEDES,BENZ C-CLASS C 43,"2,996 cc",402,250,4.7,52000,P,5,520
MERCEDES,BENZ E-CLASS E 350,"1,991 cc",255,250,5.7,49000,P,5,500
MERCEDES,BENZ GLE 350,"1,991 cc",255,250,6.1,53000,P,5,500
MERCEDES,BENZ GLC 43,"2,996 cc",402,250,4.7,54000,P,5,520
MERCEDES,BENZ GLA 45,"1,991 cc",382,250,4.3,48000,P,5,500
MERCEDES,BENZ GLC 350,"1,991 cc",255,250,6.1,46000,P,5,500
MERCEDES,BENZ GLE 53,"2,996 cc",429,250,5.2,71000,P,5,620
MERCEDES,BENZ S-CLASS S 350,"1,991 cc",255,250,6.5,90000,P,5,500
MERCEDES,BENZ EQS 53,N/A,751,250,3.4,102000,E,5,950
MERCEDES,BENZ MAYBACH S 680,"5,980 cc",630,250,4.7,200000,P,5,1000
BMW,M5 CS,"4,395 cc",627,305,3,142000,P,5,750
BMW,M4 GTS,"2,993 cc",493,305,3.7,133000,P,4,600
BMW,M3 COMPETITION,"2,993 cc",503,285,3.5,76000,P,5,650
BMW,M2 CS,"2,993 cc",444,280,4,83000,P,4,550
BMW,X5 M COMPETITION,"4,935 cc",523,285,4.1,114000,P,5,750
BMW,X3 M COMPETITION,"2,993 cc",503,285,4.1,69000,P,5,650
BMW,M8 GRAN COUPE,"4,395 cc",523,305,3.3,146000,P,5,750
BMW,M850i DRIVE COUPE,"4,935 cc",523,285,3.7,108000,P,4,750
ROLLS ROYCE,DAWN BLACK BADGE VOLANTE,"6,592 cc",563,250,4.8,398000,P,4,840
ROLLS ROYCE,CULLINAN BLACK BADGE SUV,"6,749 cc",563,250,5.1,381000,P,5,850
ROLLS ROYCE,PHATOM TRANQUILITY,"6,749 cc",563,250,5.3,475000,P,5,900
ROLLS ROYCE,GHOST ZENITH,"6,749 cc",563,250,4.9,335000,P,5,900
ROLLS ROYCE,WRAITH EAGLE VIII,"6,592 cc",623,250,4.5,349000,P,4,800
ROLLS ROYCE,PHATOM ORCHID,"6,749 cc",563,250,5.3,495000,P,5,900
ROLLS ROYCE,GHOST AZURE,"6,749 cc",563,250,4.9,355000,P,5,900
ROLLS ROYCE,WRAITH KRYPTOS,"6,592 cc",623,250,4.5,369000,P,4,800
ROLLS ROYCE,DAWN SILVER BULLET,"6,592 cc",563,250,4.8,418000,P,4,840
ROLLS ROYCE,CULLINAN FUX ORANGE,"6,749 cc",563,250,5.1,401000,P,5,850
ROLLS ROYCE,PHANTOM CELESTIAL,"6,749 cc",563,250,5.3,515000,P,5,900
ROLLS ROYCE,GHOST MYSORE,"6,749 cc",563,250,4.9,375000,P,5,900
ROLLS ROYCE,WRAITH LUMINARY,"6,592 cc",623,250,4.5,389000,P,4,800
ROLLS ROYCE,DAWN BLACK BADGE ADAMAS,"6,592 cc",563,250,4.8,439000,P,4,840
ROLLS ROYCE,CULLINAN RED DIAMOND,"6,749 cc",563,250,5.1,421000,P,5,850
AUDI,R8 V10 PLUS,"5,204 cc",610,330,3.2,194000,P,2,560
AUDI,RS7 SPORTBACK,"3,993 cc",591,305,3.6,114000,P,5,800
AUDI,S8,"3,993 cc",563,305,4.3,101000,P,5,800
AUDI,RS6 AVANT,"3,993 cc",591,305,3.6,109000,P,5,800
AUDI,S7 SPORTBACK,"3,993 cc",563,305,4.3,96000,P,5,650
AUDI,A8,"2,995 cc",335,250,5.7,86000,P,5,600
AUDI,S5 COUPE,"2,995 cc",349,250,4.8,64000,P,4,500
AUDI,SQ5,"2,995 cc",349,250,5.4,62000,P,5,500
AUDI,S4 SEDAN,"2,995 cc",349,250,4.7,59000,P,5,500
AUDI,S3 SEDAN,"1,984 cc",306,250,4.8,52000,P,5,400
AUDI,Q7,"2,995 cc",335,250,6.3,60000,P,7,600
AUDI,Q5,"1,984 cc",248,240,6.3,43000,P,5,500
AUDI,A7,"2,995 cc",335,250,5.7,68000,P,5,600
AUDI,A6,"2,995 cc",335,250,5.7,58000,P,5,600
AUDI,A5 COUPE,"1,984 cc",248,240,6.3,45000,P,4,500
AUDI,A4,"1,984 cc",248,240,6.5,39000,P,5,400
AUDI,Q3,"1,984 cc",248,230,7.3,35000,P,5,400
AUDI,E-TRON,95 kwh,402,200,5.5,75000,E,5,664
AUDI,E-TRON SPORTBACK,95 kwh,402,200,5.5,78000,E,5,664
AUDI,TT COUPE,"1,984 cc",248,250,5.3,49000,P,2,400
BMW,I8 ROADSTER,11.6 kwh,369,250,4.4,165000,H,2,570
BMW,330i,"1,998 cc",255,250,5.6,45000,P,5,400
BMW,M340i XDRIVE,"2,998 cc",382,250,4.1,57000,P,5,500
BMW,430i COUPE,"1,998 cc",255,250,5.8,48000,P,4,400
BMW,M4 COMPETITION,"2,993 cc",503,290,3.8,81000,P,4,650
BMW,530i,"1,998 cc",248,250,5.9,57000,P,5,400
BMW,M550i XDRIVE,"4,395 cc",523,250,3.6,78000,P,5,650
BMW,118i,"1,499 cc",136,213,8.5,32000,P,5,220
BMW,128ti,"1,998 cc",261,250,6.1,42000,P,5,400
BMW,M135i XDRIVE,"1,998 cc",302,250,4.8,30000,P,5,450
BMW,116D,"1,496 cc",116,200,10.3,30000,D,5,280
BMW,120D XDRIVE,"1,995 cc",190,230,6.9,38000,D,5,400
BMW,116i,"1,499 cc",109,200,10.9,28000,P,5,200
BMW,118D,"1,995 cc",150,216,8.4,34000,D,5,380
BMW,120i,"1,998 cc",178,230,7.1,37000,P,5,300
BMW,125i,"1,998 cc",224,240,6.1,42000,P,5,400
BMW,114D,"1,496 cc",95,185,12.2,27000,D,5,270
BMW,114i,"1,598 cc",102,195,11.2,26000,P,5,200
BMW,125D,"1,995 cc",224,240,6.3,44000,D,5,400
BMW,118i XDRIVE,"1,499 cc",136,211,8.9,34000,P,5,250
BMW,116D EFFICIENTDYNAMICS,"1,496 cc",116,200,10.9,30000,D,5,270
BMW,118i SPORTLINE,"1,499 cc",136,213,8.5,35000,P,5,250
BMW,118i M SPORT,"1,499 cc",136,213,8.5,37000,P,5,250
BMW,120i M SPORT,"1,998 cc",178,230,7.1,39000,P,5,300
BMW,116i EFFICIENTDYNAMICS,"1,598 cc",109,195,10.9,29000,P,5,200
BMW,116D ADVANTAGE,"1,496 cc",116,200,10.5,31000,D,5,270
BMW,120D EFFICIENTDYNAMICS,"1,995 cc",163,225,7.7,39000,D,5,400
BMW,118i SHADOW LINE,"1,499 cc",136,213,8.5,36000,P,5,250
BMW,118D SPORT LINE,"1,995 cc",150,216,8.4,36000,D,5,380
BMW,120i XDRIVE,"1,998 cc",178,230,7.2,40000,P,5,300
BMW,114D SPORT LINE,"1,496 cc",95,185,12.2,28000,D,5,270
BMW,118i URBAN LINE,"1,499 cc",136,213,8.5,35000,P,5,250
VOLVO,XC90,"1,969 cc",247,200,6.5,60000,P,7,400
VOLVO,XC60,"1,969 cc",247,220,6.4,55000,P,5,400
VOLVO,S90,"1,969 cc",295,250,5.9,60000,P,5,400
KIA,SPORTAGE LX,"2,480 cc",187,200,8,27000,P,5,250
KIA,SPORTAGE EX,"2,480 cc",187,200,8,30000,P,5,250
KIA,SPORTAGE GT-LINE,"2,480 cc",187,200,8,32000,P,5,350
KIA,SPORTAGE SX TURBO,"1,998 cc",240,210,6.7,36000,P,5,400
KIA,SPORTAGE NIGHTFALL EDITION,"2,480 cc",187,200,8,33000,P,5,350
HONDA,CIVIC TYPE R,"1,996 cc",315,272,5.7,44000,P,5,400
KIA,SPORTAGE PHEV,"1,600 cc / 13.8 kwh",261,180,8,41000,,5,350
KIA,SPORTAGE 2024(BASE MODEL),"2,480 cc",187,200,8,26000,P,5,250
KIA,SPORTAGE 2024(TOP TRIM),"1,998 cc",240,210,6.7,38000,P,5,400
KIA,SPORTAGE 2024(BASE AWD),"2,480 cc",187,200,8.3,29000,P,5,250
KIA,SPORTAGE X-LINE,"2,480 cc",187,200,8,32500,P,5,350
KIA,SPORTAGE 2024(S TRIM),"2,480 cc",187,200,8.2,28000,P,5,250
HONDA,ACCORD,"1,498 cc",192,201,7.1,29400,P,5,370
KIA,SPORTAGE 2024(HYBRID AWD),"1,600 cc / 1.49 kwh",227,180,8,37000,H,5,350
KIA,SPORTAGE 2024(PLUG-IN HYBRID AWD),"1,598 cc / 13.8 kwh",261,180,7.9,42000,,5,350
KIA,SPORTAGE 2024(X-PRO),"2,480 cc",187,200,8.1,36000,P,5,400
KIA,SPORTAGE 2024(X-PRO PRESTIGE),"2,480 cc",187,200,8.1,38000,P,5,400
KIA,SPORTAGE 2024(SX TURBO AWD),"1,998 cc",240,210,6.5,40000,P,5,400
KIA,SPORTAGE 2024(BASE FWD),"2,480 cc",187,200,8.5,26500,P,5,250
HONDA,CR-V,"1,498 cc",190,186,8.2,30000,H,5,400
HONDA,PILOT,"3,471 cc",285,209,6.3,40000,P,8,360
HONDA,CIVIC HATCHBACK,"1,498 cc",180,220,6.8,26350,P,5,300
TOYOTA,CAMRY,"3,500 cc",301,220,6,27000,H,5,250
TOYOTA,COROLLA,"1,798 cc",139,180,9.4,22500,H,5,200
TOYOTA,PRIUS,"1,798 cc",121,180,10.5,26700,H,5,142
TOYOTA,RAV4,"2,494 cc",203,200,8.1,27100,H,5,400
TOYOTA,HIGHLANDER,"3,456 cc",295,220,7.2,38400,H,7,370
TOYOTA,4RUNNER,"3,956 cc",270,200,7.5,37400,P,5,400
TOYOTA,TACOMA,"2,694 cc",159,180,9.5,26400,P,5,400
TOYOTA,TUNDRA,"5,663 cc",381,220,6.7,39900,P,5,650
TOYOTA,AVALON,"3,456 cc",301,220,6.9,41400,P,5,400
TOYOTA,MIRAI,"1,798 cc",151,180,9.2,52400,HD,5,335
TOYOTA,SIENNA,"2,494 cc",245,190,8,44150,H,7,360
TOYOTA,VENZA,"2,494 cc",219,200,7.5,33400,H,5,400
TOYOTA,HIGHLANDER HYBRID,"3,456 cc",240,220,8.2,40400,H,7,350
TOYOTA,LAND CRUISER PRADO,"3,956 cc",282,200,7.2,49400,P,7,450
TOYOTA,TUNDRA HYBRID,"3,456 cc",344,220,6.2,43400,H,5,650
TOYOTA,YARIS,"1,496 cc",106,180,11.2,18400,P,5,150
TOYOTA,C-HR,"1,986 cc",144,200,10.2,24400,H,5,250
TOYOTA,BZ4X,"64.8 kwh (Base Model),72.8 kwh (Higher End Model",218,200,7.5,43400,E,5,330
TOYOTA,CROWN,"2,494 cc",236,200,7.6,38400,H,5,400
TOYOTA,MR2,"1,986 cc",168,200,6.9,29000,P,2,400
TOYOTA,CELICA,"1,986 cc",140,200,8.5,25000,P,5,250
HONDA,CITY,"1,497 cc",119,180,10.2,15400,H,5,145
HONDA,CIVIC,"1,996 cc",158,200,8.5,20400,P,5,400
HYUNDAI,I10,"1,197 cc",87,160,12.2,12400,P,5,120
HYUNDAI,I20,"1,396 cc",99,180,10.5,15400,H,5,250
HYUNDAI,ELANTRA,"1,999 cc",147,200,9.5,18400,H,5,250
MAHINDRA,XUV500,"2,179 cc",155,180,10.5,18400,D,7,400
MAHINDRA,SCORPIO,"2,179 cc",140,160,11.2,16400,D,7,280
MAHINDRA,THAR,"1,997 cc",150,180,10.5,20400,P,4,320
MARUTI SUZUKI,SWIFT,"1,197 cc",83,160,12.2,10400,P,5,113
MARUTI SUZUKI,DZIRE,"1,197 cc",83,160,12.2,11400,P,5,113
MARUTI SUZUKI,BREZZA,"1,462 cc",103,180,11.5,14400,P,5,200
TOYOTA,PRIUS PRIME,"1,998 cc",220,180,6.7,31100,,5,220
TOYOTA,GR COROLLA,"1,618 cc",300,230,2.5,36995,P,5,370
TOYOTA,LAND CRUISER 300,"3,346 cc",305,210,6.8,58500,P,7,650
TOYOTA,TUNDRA I-FORCE MAX,"3,445 cc",437,180,6.2,56000,H,5,750
TOYOTA,COROLLA HATCHBACK XSE,"1,987 cc",169,190,8.2,25390,P,5,250
TOYOTA,MIRAI,1.24 kwh,152,180,9,49500,HD,5,335
TOYOTA,HILUX GR SPORT,"2,755 cc",224,170,10,50000,P,5,500
TOYOTA,ALPHARD EXECUTIVE LOUNGE,"HYBRID(2,494 cc),V6(3,456 cc)",296,180,8.5,60000,P,7,400
TOYOTA,FORTUNER GR SPORT,"2,755 cc",204,175,10.5,55000,P,7,500
TOYOTA,INNOVA HYCROSS,"1,987 cc",184,165,9.5,40000,H,7,250
TOYOTA,COASTER,"4,009 cc",134,120,6.5,70000,D,20,500
TOYOTA,URBAN CRUISER TAISOR,"1,490 cc",114,170,11,25000,P,5,130
TOYOTA,AYGO X,998 cc,71,160,14.8,18000,P,4,93
TOYOTA,HILUX REVO ROCCO,"2,755 cc",204,175,10,50000,D,5,500
TOYOTA,PROACE VERSO ELECTRIC,75 KWH,136,130,13.5,55000,E,7,280
TOYOTA,CENTURY SUV,"3,456 cc",406,200,6,170000,P,5,500
TOYOTA,COROLLA SEDAN HYBRID,"1,798 cc",134,180,10,24000,H,5,300
TOYOTA,BZ3,65 KWH,241,160,7.5,35000,E,5,340
TOYOTA,GR YARIS,"1,618 cc",268,230,5.5,45000,P,4,390
HYUNDAI,SANTA FE,"1,600 cc",253,180,9.3,50000,H,7,420
HYUNDAI,IONIQ 5,72.6 KWH,225,185,7.4,41000,E,5,350
HYUNDAI,Santa Cruz,"2,500 cc",281,215,6.5,40799,P,5,400
HYUNDAI,Kona,"1,591 cc",147,185,7.5,20500,H,5,400
HYUNDAI,Elantra,"2,000 cc",147,210,8.3,19950,H,5,250
Nissan,Urvan,,272,140,14,28000,D,15,356
HYUNDAI,IONIQ 6,53.6 kwh(Standard Range) / 77.4 kwh(Long Range),320,185,5.2,41450,E,5,350
HYUNDAI,Tucson,"2,500 cc",187,180,6.1,30500,H,5,400
HYUNDAI,Palisade,"3,800 cc",291,240,6.3,52000,P,7,355
HYUNDAI,Sonata,"2,500 cc",191,240,8,25000,H,5,250
HYUNDAI,Accent,"1,600 cc",120,180,9.8,15000,P,5,151
HYUNDAI,Venue,"1,600 cc",121,180,9.5,18000,P,5,240
HYUNDAI,KONA Electric,39.2 kwh,200,200,6.1,40000,E,5,395
HYUNDAI,Veloster,"2,000 cc",275,220,6,25000,P,4,264
HYUNDAI,NEXO,1.56 kwh,161,180,7.8,38000,HD,5,400
HYUNDAI,Ioniq,"1,600 cc",139,160,8.5,18000,H,5,295
HYUNDAI,Genesis,"3,800 cc",291,240,6.3,52000,P,5,400
HYUNDAI,Azera,"3,300 cc",278,240,6.5,55000,P,5,250
HYUNDAI,Equus,"3,300 cc",278,240,6.5,55000,P,5,400
HYUNDAI,Tiburon,"2,000 cc",160,200,8.2,19000,P,4,320
HYUNDAI,Elantra GT,"2,000 cc",160,200,8.3,22000,P,5,320
Volkswagen,Golf,1498 cc / 40 - 58 kWh,272,210,8.5,23000,P,5,250
Volkswagen,Passat,1984 cc,272,210,7.8,25000,P,5,250
Volkswagen,Tiguan,1984 cc,272,209,8.5,28505,H,7,300
Volkswagen,Jetta,1498 cc,272,210,7.7,21995,P,5,250
Volkswagen,Polo,999 cc / 1598 cc,272,190,9.5,18000,P,5,175
Volkswagen,Arteon,1984 cc,272,250,5.6,46000,P,5,350
Volkswagen,ID.4,77 kWh,272,160,7.8,39735,E,5,310
Volkswagen,Up!,32.3 kWh,82,160,13,15000,P,4,95
Volkswagen,Touareg,2967 cc / 3956 cc,272,235,5.9,55000,P,5,600
Volkswagen,Scirocco,1984 cc,272,233,6,35000,P,4,350
Volkswagen,Beetle,1984 cc,272,205,7,20000,P,4,240
Volkswagen,Amarok,2967 cc,272,180,7.9,40000,D,5,550
Volkswagen,T-Roc,1984 cc,272,205,7.2,30000,P,5,320
Volkswagen,Sharan,1984 cc,272,200,9.3,33000,P,7,280
Volkswagen,Caddy,1498 cc,272,185,10.5,28000,P,7,250
Nissan,NV1500,3954 cc,261,160,9.5,33000,P,12,385
Volkswagen,Taigo,1498 cc,272,183,10,24000,P,5,200
Volkswagen,California,1984 cc,272,180,13,70000,D,7,340
Volkswagen,ID.3,58 - 77 kWh,204,160,7.3,35000,E,5,310
Volkswagen,ID. Buzz,77 kWh,204,145,10.2,59995,E,7,310
Volkswagen,Golf GTI,1984 cc,245,250,5.9,31965,P,5,350
Volkswagen,Golf R,1984 cc,315,250,4.6,44640,P,5,420
Volkswagen,Passat Alltrack,1968 cc,272,220,7.8,36000,D,5,400
Volkswagen,Polo GTI,1984 cc,204,238,6.7,28000,P,5,320
Volkswagen,Up! GTI,999 cc,115,196,8.8,20000,P,4,200
Volkswagen,T-Cross,999 cc / 1498 cc,272,200,10.2,25000,P,5,250
Volkswagen,ID.5,77 kWh,272,180,8.4,45000,E,5,310
Volkswagen,ID. Buzz Cargo,77 kWh,204,145,10.2,55000,E,3,310
Volkswagen,Touareg R,2995 cc,462,250,5.1,70000,H,5,700
Volkswagen,Multivan,1395 cc / 1968 cc,272,190,9.4,50000,H,7,350
Volkswagen,Polo BlueMotion,1199 cc,272,190,10.5,22000,D,5,250
Volkswagen,Golf Sportsvan,1498 cc,272,210,8.9,30000,P,5,250
Volkswagen,Golf Alltrack,1968 cc,272,210,7.1,35000,P,5,350
Volkswagen,Scirocco R,1984 cc,280,250,5.5,40000,P,4,350
Volkswagen,Tiguan Allspace,1984 cc,272,215,7.6,35000,P,7,320
Volkswagen,Arteon 4MOTION,1984 cc,272,250,5.6,48000,P,5,350
Volkswagen,ID.4 GTX,77 kWh,299,180,6.2,50000,E,5,460
Volkswagen,ID.3 Pro,58 kWh,204,160,7.3,35000,E,5,310
Volkswagen,Golf Variant,1498 cc / 1968 cc,272,220,7.5,32000,P,5,320
Volkswagen,Crafter,1968 cc,272,160,13,40000,D,3,410
Volkswagen,Lupo,1390 cc / 1199 cc,272,170,14.3,15000,P,4,120
Volkswagen,Corrado,2861 cc,190,235,6.4,25000,P,4,245
Volkswagen,Phaeton,2967 cc / 5998 cc,272,250,6.1,85000,P,5,560
Volkswagen,Golf Cabriolet,1197 cc / 1984 cc,272,217,8.4,30000,P,4,200
Volkswagen,Santana,1498 cc,110,190,12.9,15000,P,5,145
Volkswagen,Polo Vivo,1390 cc / 1598 cc,272,170,10.8,14000,P,5,132
Volkswagen,Karmann Ghia,1192 cc,272,138,23,25000,P,2,106
Volkswagen,Fox,1198 cc / 1390 cc,272,148,17.5,12000,P,5,93
Volkswagen,Vento,1598 cc,272,186,11.7,18000,P,5,153
Volkswagen,Golf Electric,35.8 kWh,136,140,10.4,33000,E,5,290
Volkswagen,Bora,1598 cc / 1896 cc,272,200,9.4,20000,P,5,220
Volkswagen,Teramont,1984 cc / 3597 cc,272,190,8.6,32000,P,7,350
Volkswagen,Taos,1498 cc,158,193,8.4,24000,P,5,250
Volkswagen,Up! Cabriolet,999 cc,272,160,12.4,18000,P,4,95
Volkswagen,T-Roc Cabriolet,999 cc / 1498 cc,272,205,9.6,35000,P,4,250
Volkswagen,Passat CC,1984 cc,272,240,7.3,40000,P,5,280
Volkswagen,Transporter,1968 cc,272,180,12.2,35000,D,9,340
Volkswagen,Amarok V6,2967 cc,272,191,7.9,45000,D,5,580
Volkswagen,ID.2,~50 kWh (Estimate),272,160,8,25000,E,5,220
Volkswagen,Polo TDI,1390 cc / 1598 cc,272,190,9.9,20000,D,5,250
Volkswagen,Golf GTE,1395 cc + Electric Motor,204,222,7.6,40000,H,5,350
Volkswagen,Touareg V8,3956 cc,421,250,4.9,70000,P,5,770
Volkswagen,Beetle Dune,1395 cc,150,200,7.5,30000,P,4,250
Volkswagen,Passat B8,1498 cc / 1968 cc,272,210,8.7,28000,P,5,250
Volkswagen,ID.4 Pro S,77 kWh,201,180,7.8,45000,E,5,310
Volkswagen,Golf Cabriolet,1197 cc / 1984 cc,272,217,8.4,30000,P,4,200
